participant,experiment,age,gender,hand,rate,mean_HCJ,mean_HCS,mean_TSJ,mean_TSS,mean_PJ,mean_PS,sum_desire,trust,affinity,relcomp
101,1,23,female,right,5,2.88,2.92,3,3.12,5.76,5.6,106,2,2,4
102,1,22,female,right,6,2.64,3.16,2.66,3.36,5.96,5.6,108,3,4,4
103,1,29,female,right,6,3.18,2.96,3.3,3.12,5.5,5.68,98,4,5,4
104,1,25,female,right,5,2.54,3.08,2.62,3.44,5.74,5.16,96,4,3,3
105,1,20,male,right,5,1.68,3.08,1.68,3.12,5.96,5.8,101,3,5,5
106,1,28,male,right,5,2.66,2.56,2.72,2.6,5.82,5.88,102,4,2,4
107,1,22,male,right,6,3.5,3.8,3.52,4.12,5.98,5,104,4,6,5
108,1,19,female,right,3,3.24,3.04,3.28,3.08,5.86,5.84,80,4,2,4
109,1,24,male,right,6,2.2,2.36,2.64,2.44,5.54,5.8,107,3,4,5
110,1,22,female,right,4,2.56,3.36,2.76,3.6,5.56,5.36,87,3,5,4
111,1,23,female,right,> 6,1.18,3.6,1.22,3.68,5.9,5.52,91,4,2,3
112,1,23,male,left,> 6,3.3,3.56,3.38,3.6,6,5.8,103,3,5,5
113,1,26,male,right,3,1.1,2.72,1.22,3.08,5.76,5.32,89,4,4,3
114,1,27,male,right,3,3.18,3.48,3.5,3.88,5.36,5.2,90,4,4,2
115,1,28,male,ambidextrous,> 6,3.28,2.4,3.32,2.68,5.42,4.56,114,5,6,5
116,1,32,male,right,> 6,4.1,4.16,4.38,4.72,5.42,4.84,101,4,3,5
117,1,24,male,right,5,3.5,3.36,3.82,3.64,5.3,5.2,133,3,5,4
118,1,21,male,right,> 6,0.28,3.4,0.28,3.48,5.98,3.56,89,4,4,4
119,1,23,male,right,3,1.88,2.8,2,2.96,5.76,5.68,92,5,5,4
120,1,34,male,right,5,3.04,2.84,3.38,3.4,5.18,4.84,111,4,2,4
121,1,28,male,right,4,3.6,3.76,3.76,3.96,5.68,5.6,90,4,3,4
122,1,34,male,right,> 6,0.08,3.32,0.08,3.44,6,5.72,106,4,4,4
123,1,25,female,right,> 6,2.32,3.52,2.32,3.92,5.96,5.2,89,2,5,4
124,1,29,male,right,3,3.68,3.96,3.8,4.28,5.5,5.04,89,3,2,2
125,1,28,female,right,> 6,1.9,2.48,1.92,2.56,5.94,5.72,103,4,4,5
126,1,21,female,right,2,3,3.32,3.06,3.6,5.88,5.4,112,3,5,4
201,2,29,male,ambidextrous,> 6,3.76,3.4,4.28,4.4,4.94,3.96,100,3,5,4
202,2,35,male,right,> 6,2.46,3.12,2.52,3.72,5.86,4.52,118,4,4,4
203,2,35,male,right,> 6,3.54,3.16,3.7,3.28,5.64,5.64,111,4,5,4
204,2,63,male,right,> 6,2.62,2.76,2.98,3.16,5.28,5.2,106,4,5,3
205,2,29,female,right,> 6,1.28,2.68,1.28,2.76,6,5.32,83,4,5,5
206,2,21,female,right,> 6,2.44,3.44,2.46,3.56,6,5.32,106,3,5,4
207,2,20,female,right,> 6,1.86,2.72,1.98,2.92,5.78,5.48,91,4,2,4
208,2,30,male,right,6,3.06,3.32,3.12,3.76,5.86,5.04,79,4,3,4
209,2,25,male,right,> 6,0.26,2.72,0.26,2.8,6,5.32,103,4,2,4
210,2,22,female,right,6,3.16,3.88,3.16,3.92,5.92,5.88,72,3,3,4
211,2,24,female,right,> 6,2.52,3.08,2.54,3.16,5.9,5.56,100,2,3,5
212,2,25,female,right,> 6,2.32,3.8,2.32,3.92,6,5.6,93,3,6,4
213,2,23,female,right,> 6,1.08,3.08,1.08,3.08,6,5.56,101,4,4,5
214,2,26,female,left,> 6,1.7,3.04,1.7,3.12,6,5.36,82,5,5,5
215,2,30,male,right,6,0.96,2.96,0.96,3.28,6,5.36,102,5,5,4
216,2,23,female,right,6,2.84,3.6,2.88,3.88,5.92,5.44,109,4,3,5
217,2,30,female,right,6,1.76,2,2.06,2.12,5.26,5.24,103,3,3,5
218,2,24,female,right,> 6,1.6,2.8,1.62,3,6.06,5.48,88,1,5,4
219,2,23,female,right,> 6,2.26,2.6,2.4,3.04,5.68,5.04,104,3,5,5
220,2,24,female,left,> 6,1.02,2.88,1.02,2.96,6,5.84,115,5,4,5
221,2,23,female,right,> 6,1.82,3.44,1.9,3.64,5.86,5.48,106,3,3,4
222,2,24,female,right,> 6,1.98,2.52,1.98,2.52,5.98,5.76,93,3,1,3
223,2,22,female,right,> 6,1.82,3.64,1.86,4.44,5.92,3.52,99,4,3,5
224,2,19,male,right,> 6,0,3,0,3.2,6,5.04,96,4,4,5
225,2,22,female,right,> 6,3.64,3.52,4.08,3.96,5.12,5.08,97,4,5,4
226,2,27,female,right,5,2.64,3.44,2.68,3.6,5.86,5.04,97,5,6,5
